Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195,COUNTRY
1,1,1,1,1,4,3,2,5,4,1,1,1,1,1,1,1,1,1,AND
1,1,1,1,1,9,5,9,9,10,1,9,1,1,1,1,5,1,1,AND
1,1,1,1,1,10,6,5,6,6,5,8,1,1,2,1,5,1,2,AND
1,1,1,1,1,6,6,4,9,10,3,3,1,1,1,1,7,1,1,AND
1,1,1,1,1,8,6,5,7,8,1,5,1,1,1,1,6,1,1,AND
10,10,1,1,1,10,1,1,10,10,1,1,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,5,10,10,10,1,10,1,1,1,1,1,1,5,AND
10,1,1,5,1,10,6,6,10,10,10,10,1,1,1,1,10,1,6,AND
9,1,1,5,1,8,8,5,5,7,1,8,1,1,1,1,8,1,5,AND
1,1,1,1,1,7,1,4,8,4,1,4,1,3,1,1,4,1,1,AND
1,1,1,1,5,1,3,7,5,1,1,1,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,10,1,10,AND
1,1,1,1,1,10,4,10,10,10,3,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,1,10,10,5,1,10,1,1,1,1,10,1,10,AND
1,5,3,1,1,10,5,1,10,10,6,10,1,6,1,1,10,1,5,AND
1,1,1,1,1,10,5,5,10,10,1,7,1,4,5,1,10,1,1,AND
1,1,1,1,1,10,1,10,10,10,1,5,1,1,1,1,5,1,1,AND
1,1,1,1,1,6,1,1,7,6,1,3,1,1,1,1,1,1,1,AND
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,AND
1,1,1,1,1,4,4,4,10,10,2,5,1,1,1,1,8,1,1,AND
1,1,1,1,1,10,10,10,10,10,10,7,1,1,1,1,10,1,5,AND
1,1,1,1,1,10,5,10,10,10,8,9,1,3,2,1,10,1,1,AND
3,2,3,1,1,10,8,10,10,10,10,10,1,1,1,1,10,1,3,AND
3,1,1,1,1,10,1,5,10,10,1,10,1,1,1,1,5,1,5,AND
1,1,1,1,1,10,1,10,10,10,1,10,1,1,1,1,1,1,1,AND
1,1,1,6,1,5,5,9,10,10,5,9,1,3,1,1,5,1,5,AND
1,1,1,1,1,10,4,4,10,10,1,5,1,1,1,1,1,1,1,AND
1,1,1,1,1,2,7,4,9,9,1,10,1,1,1,1,1,1,4,AND
1,1,1,1,1,8,9,1,1,4,1,1,1,1,1,1,1,1,1,AND
1,1,1,1,1,7,4,4,7,4,1,3,1,2,1,1,4,1,4,AND
1,1,1,1,1,9,5,5,5,7,1,1,1,1,1,1,3,1,1,AND
1,1,1,1,1,10,3,3,10,1,1,5,1,1,1,1,1,1,6,AND
1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,AND
1,3,2,1,1,10,7,9,9,10,9,10,1,1,1,1,8,1,1,AND
5,1,1,1,1,5,1,10,10,10,10,10,1,1,1,1,8,1,1,AND
6,7,3,7,1,9,5,3,9,10,4,3,1,5,3,1,9,3,4,AND
5,5,5,7,1,10,6,5,10,5,3,10,1,1,1,1,5,1,3,AND
4,5,5,1,1,10,4,8,9,10,2,8,1,1,1,1,10,1,8,AND
2,2,1,3,1,10,5,10,10,10,10,10,1,1,1,1,10,2,2,AND
2,2,1,1,1,10,6,9,10,10,7,8,1,3,1,1,8,2,1,AND
1,1,1,1,1,10,1,10,10,10,5,5,1,3,3,3,10,3,1,AND
1,1,2,3,1,9,5,5,10,10,4,10,1,5,3,1,1,1,5,AND
1,1,1,1,1,10,1,10,10,10,5,10,1,1,1,1,5,1,1,AND
4,4,6,6,2,10,5,6,8,10,6,7,1,1,4,1,10,1,2,AND
4,7,5,2,1,10,4,10,10,10,4,9,1,1,1,1,10,2,2,AND
6,5,1,1,1,5,1,10,10,6,1,10,1,5,1,1,4,1,7,AND
5,5,5,1,1,10,6,5,10,10,5,5,1,1,1,1,1,1,7,AND
3,2,1,2,1,10,7,10,9,10,8,10,1,2,1,1,10,1,1,AND
1,5,1,1,1,10,4,6,10,10,1,4,1,1,1,1,7,3,6,AND
7,4,2,1,1,10,1,10,10,10,4,8,1,1,1,1,10,1,2,AND
3,3,4,2,1,10,5,8,10,10,8,9,1,3,3,2,10,2,3,AND
1,3,1,1,1,10,8,8,10,10,10,8,1,2,1,1,10,1,1,AND
1,1,1,1,1,5,1,1,10,10,1,1,1,4,1,1,1,1,7,AND
5,4,4,3,4,9,8,9,9,9,7,8,4,4,4,4,8,4,4,AND
1,1,1,1,1,1,1,10,10,6,6,9,1,1,1,1,7,1,1,AND
3,4,4,4,4,8,5,8,8,8,4,9,4,4,4,4,9,4,4,AND
5,2,2,2,1,9,3,8,9,9,5,9,4,4,4,4,9,4,4,AND
1,1,1,1,1,6,1,6,8,1,1,6,1,1,1,1,6,1,6,AND
5,2,1,1,1,10,5,10,10,10,5,5,1,1,1,1,10,1,5,AND
1,1,1,1,1,10,5,5,10,10,2,10,1,1,2,1,10,5,7,AND
4,1,1,3,1,6,5,6,9,1,1,1,1,1,1,1,4,1,9,AND
1,5,4,3,2,10,1,10,10,9,1,1,1,1,1,1,9,1,1,AND
1,1,1,4,1,10,5,10,10,1,2,4,1,1,1,1,6,1,4,AND
1,3,2,4,1,10,3,10,10,10,1,5,1,1,1,1,10,1,1,AND
5,4,4,1,1,10,6,9,9,10,7,9,1,1,7,1,10,1,5,AND
3,2,3,2,2,10,6,6,10,10,5,5,10,8,8,3,10,8,1,AND
3,8,6,7,2,10,7,10,10,10,10,10,2,3,4,5,10,1,4,AND
1,1,1,1,1,10,3,3,10,1,1,1,1,1,1,1,1,1,3,AND
8,1,1,1,1,10,7,10,10,10,6,8,1,1,1,1,5,1,1,AND
1,1,1,1,1,10,3,10,10,10,10,10,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,6,6,10,10,6,10,1,1,1,1,5,1,5,AND
1,1,1,1,1,2,3,5,7,6,1,3,1,1,1,1,1,1,1,AND
2,4,2,1,1,10,3,6,10,10,6,8,1,3,2,1,8,1,7,AND
2,2,2,2,2,10,4,8,10,10,8,8,1,3,3,1,10,1,7,AND
1,1,1,1,1,10,10,2,10,10,1,10,1,1,1,1,1,1,1,AND
1,1,1,1,1,3,10,10,10,10,1,1,1,1,1,1,5,1,3,AND
1,1,1,1,1,10,10,6,10,10,6,10,1,1,1,1,1,1,10,AND
1,1,1,1,1,10,10,10,10,10,10,10,10,1,1,1,10,1,1,AND
1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,10,1,7,AND
8,2,1,1,1,6,1,10,6,10,1,5,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,3,3,6,10,1,3,1,1,1,1,2,1,2,AND
1,1,1,1,1,10,1,4,8,10,1,7,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,5,5,10,10,5,8,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,10,10,10,10,1,10,1,1,1,1,10,1,1,AND
1,1,1,5,1,10,7,5,10,10,3,3,1,1,1,1,8,1,1,AND
1,1,1,1,1,10,10,10,10,10,1,2,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,1,10,10,10,1,10,1,10,1,1,7,1,10,AND
1,1,1,1,1,6,5,3,6,4,2,2,1,1,1,1,4,1,1,AND
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,AND
1,1,1,1,1,10,2,8,10,10,5,10,1,5,1,1,1,1,10,AND
2,2,1,1,1,10,10,9,10,10,2,8,1,1,1,1,10,1,1,AND
1,1,1,1,1,8,8,9,10,10,2,7,1,1,1,1,8,1,2,AND
2,2,1,2,1,5,5,5,8,8,1,8,1,1,1,1,6,1,2,AND
6,1,1,10,3,10,10,10,10,10,1,6,1,5,1,1,10,1,10,AND
2,1,1,1,1,10,8,10,10,10,2,10,1,1,1,1,9,1,1,AND
1,1,1,6,1,10,10,10,10,10,10,10,1,4,1,1,10,1,1,AND
1,1,1,1,1,8,8,8,10,10,3,3,1,1,1,1,3,1,1,AND
5,1,1,1,1,10,1,8,10,10,5,5,1,1,1,1,10,1,5,AND
1,1,10,9,2,10,9,10,10,10,10,10,1,1,1,1,10,1,9,AND
1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,1,1,6,AND
1,1,1,1,1,10,10,10,10,10,5,10,1,1,1,1,10,1,5,AND
1,1,1,1,1,5,7,5,5,10,1,2,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,6,10,10,6,10,1,1,1,1,1,10,1,6,AND
1,6,1,1,1,10,1,10,10,10,9,10,1,1,1,1,7,1,1,AND
1,1,1,1,1,1,10,1,10,10,1,3,1,3,1,2,1,1,1,AND
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,AND
1,10,5,1,1,10,10,10,10,10,10,10,1,5,5,1,10,10,10,AND
1,9,1,10,1,10,10,10,10,10,10,10,1,1,1,1,10,1,5,AND
1,1,1,1,10,5,9,10,10,10,10,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,10,8,10,10,5,10,1,3,1,1,5,6,1,AND
1,1,1,1,1,10,10,1,10,10,1,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,7,1,1,1,10,1,1,1,1,1,1,6,1,1,AND
1,1,1,1,1,10,10,10,10,10,1,5,1,1,1,1,1,1,1,AND
4,1,1,1,1,10,5,8,9,10,1,7,1,4,1,1,5,1,1,AND
1,1,1,1,1,10,10,10,10,10,5,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,7,10,10,10,1,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,5,5,5,10,10,1,5,1,1,1,1,1,1,1,AND
1,5,2,5,2,10,2,10,10,10,1,5,1,1,1,1,9,1,8,AND
1,1,1,1,1,10,1,5,10,10,5,5,1,1,1,1,10,1,1,AND
1,1,1,1,1,5,5,5,10,10,5,5,1,3,3,1,10,1,7,AND
2,1,1,1,1,9,8,6,9,10,1,9,1,6,5,10,9,1,7,AND
1,2,1,1,1,5,1,1,5,3,1,5,1,2,1,1,4,1,1,AND
1,1,1,1,1,10,4,4,10,10,1,5,1,1,1,1,10,1,6,AND
9,1,1,2,2,2,1,2,5,5,1,5,1,1,1,1,5,1,5,AND
5,2,1,1,2,6,1,1,8,5,1,1,1,1,1,1,3,1,1,AND
6,4,1,1,1,4,1,1,5,1,1,5,1,1,1,1,4,1,1,AND
4,2,1,1,1,10,1,1,10,4,1,1,1,1,1,1,1,1,1,AND
2,1,1,1,1,10,4,1,10,6,6,6,1,4,1,1,10,1,1,AND
3,1,1,1,1,10,1,1,10,7,1,5,1,1,1,1,10,1,7,AND
1,1,1,1,1,5,5,5,5,5,5,5,1,2,1,1,5,1,1,AND
1,1,1,1,1,5,1,5,5,5,1,4,1,2,1,1,4,1,1,AND
1,1,1,1,1,10,5,5,10,9,1,2,1,3,1,1,10,1,1,AND
1,1,1,1,1,10,7,5,10,10,1,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,6,4,1,1,6,1,6,1,1,1,1,1,1,1,AND
1,1,1,1,1,8,1,1,9,10,1,6,1,1,1,1,1,1,1,AND
2,1,1,1,1,5,5,5,10,10,5,5,2,2,2,1,10,1,10,AND
1,1,1,1,1,10,5,5,5,7,5,5,1,1,1,1,6,1,9,AND
1,1,1,1,1,9,3,4,10,8,6,5,1,2,2,1,5,1,10,AND
3,1,1,1,1,5,3,3,9,9,5,5,2,2,2,1,9,1,1,AND
1,1,1,1,1,10,10,5,10,10,1,5,1,1,2,1,10,1,10,AND
1,1,1,1,1,7,7,7,7,7,1,7,3,2,2,1,8,1,10,AND
2,1,1,1,1,5,2,1,10,5,1,5,1,1,1,1,1,1,6,AND
